GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",10,"...","Total ACPSA employment","Number of jobs",65384,65593,63078,60458,59691,58166,56352,55466,51954,50057,49699,48386,48164,46825,47449,46732
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",100,"..."," Core arts and cultural production","Number of jobs",7761,7671,7540,7616,7527,7636,7607,7826,7842,7622,7505,7096,6927,7353,7341,7427
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",111,"...","  Performing arts companies","Number of jobs",887,852,763,665,658,670,660,652,637,575,623,628,616,678,636,636
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",112,"...","  Promoters of performing arts and similar events","Number of jobs",222,285,299,260,326,310,331,314,935,1077,1131,911,880,864,861,808
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",113,"...","  Agents/managers for artists","Number of jobs",52,50,35,37,35,36,52,27,32,32,23,24,25,29,28,23
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",114,"...","  Independent artists, writers, and performers","Number of jobs",104,93,103,103,115,124,102,117,111,107,92,84,90,80,92,139
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",120,"...","  Museums","Number of jobs",536,577,(D),(D),(D),735,(D),(D),(D),707,(D),732,734,(D),(D),1216
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",131,"...","  Advertising","Number of jobs",1399,1294,1278,1464,1348,1287,1159,1247,1126,1113,1126,1044,(D),1044,1048,(D)
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",132,"...","  Architectural services","Number of jobs",1026,1031,1066,1099,1119,1173,1214,1213,1067,902,828,801,797,800,809,830
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",133,"...","  Landscape architectural services","Number of jobs",136,126,123,103,79,100,92,89,84,139,87,89,86,116,116,117
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",134,"...","  Interior design services","Number of jobs",151,136,128,137,132,138,148,143,119,118,109,109,114,112,116,143
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",135,"...","  Industrial design services","Number of jobs",39,34,50,36,42,54,47,207,191,190,171,126,80,98,114,131
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",136,"...","  Graphic design services","Number of jobs",338,279,271,301,307,321,324,332,297,289,258,247,259,294,294,304
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",137,"...","  Computer systems design","Number of jobs",165,169,175,170,159,159,171,199,199,195,201,205,199,203,204,199
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",138,"...","  Photography and photofinishing services","Number of jobs",1748,1648,1580,1544,1372,1301,1324,1319,1156,1088,(D),(D),(D),(D),(D),(D)
 "01000","Alabama",5,"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry",139,"...","  All other design services","Number of jobs",6,7,8,11,12,14,14,13,10,9,8,9,8,8,8,7
