GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",20298,21295,22490,23953,24781,25514,26603,28028,29579,31014,32198,32781,32054,32902,34121,35039,35782,37108,38278,39440,40922,42757
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7349,7633,8184,8682,8850,9021,9366,9891,10412,10836,11153,11034,10337,10699,11260,11561,11777,12108,12201,12348,12790,13311
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2624,2825,3066,3234,3304,3426,3508,3690,3819,3882,3944,3613,3299,3391,3510,3645,3763,3901,4071,4187,4344,4510
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1129,1039,1114,1172,1264,1321,1388,1479,1497,1545,1594
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",589,629,685,738,754,785,811,869,918,950,941,869,777,779,792,809,834,867,917,956,999,1043
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",641,694,756,818,824,851,894,973,1037,1094,1126,1079,970,965,980,993,1017,1036,1048,1104,1165,1206
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",320,341,368,391,380,394,419,451,477,514,547,536,514,533,565,579,591,609,628,629,636,667
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4725,4808,5118,5447,5546,5595,5858,6201,6593,6954,7209,7421,7037,7308,7751,7916,8013,8207,8130,8161,8445,8801
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2529,2520,2544,2630,2696,2734,2817,2869,2903,2976,3067
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",908,935,972,995,975,969,983,1016,1051,1073,1074,1044,991,1024,1067,1100,1109,1133,1150,1160,1158,1197
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",542,480,525,654,625,584,677,795,960,1071,1147,1286,936,1089,1328,1344,1323,1267,965,851,947,1069
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1534,1626,1774,1882,1967,2042,2130,2230,2321,2463,2541,2562,2591,2652,2725,2776,2847,2990,3147,3247,3365,3468
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",12948,13662,14306,15271,15932,16493,17237,18137,19167,20178,21045,21747,21717,22203,22861,23478,24006,25000,26077,27092,28132,29446
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",12561,13214,13811,14711,15303,15804,16528,17432,18456,19376,20219,20802,20774,21251,21860,22390,22890,23852,24919,25861,26859,28092
 "00000","United States", ,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","   Housing and utilities",3704,3862,4025,4248,4518,4637,4806,5017,5359,5638,5837,6036,6121,6155,6277,6360,6503,6753,7033,7290,7550,7847
