,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
0,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,
1,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,
2,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alabama,593683,19539,392,299,1304,900,1811,1077,5984,2126,Alabama,1158,721,213,191,392,587,245,183,19258,3784,Alabama,21146,3075,352,254,53,89,4666,1728,3178,1267,Alabama,893,699,381,457,3267,1311,10034,3302,304,401,Alabama,739,469,397,484,4128,1677,333,323,11325,2456,Alabama,2271,1013,0,265,66,90,181,209,101,128,Alabama,1035,669,311,263,3732,1746,3926,1356,326,403,Alabama,4535,2048,1757,1202,113,186,1277,800,301,263,Alabama,0,265,1679,740,53,89,8241,2333,8457,1903,Alabama,1387,1457,351,595,2316,757,1529,1033,154,168,Alabama,1501,1259,519,690
9,Alaska,751,699,102086,7495,1190,711,503,723,3353,1375,Alaska,968,708,498,470,0,235,0,235,940,588,Alaska,1602,1062,1190,967,662,539,349,351,447,695,Alaska,377,446,293,367,241,292,332,322,119,148,Alaska,117,155,740,489,346,277,1216,838,396,443,Alaska,476,524,729,410,1087,1496,1344,1134,62,105,Alaska,153,206,14,25,809,566,966,798,0,235,Alaska,556,378,241,225,2577,991,454,450,0,235,Alaska,206,357,61,71,0,235,71,81,2362,1343,Alaska,1483,1107,0,235,1325,710,4850,1881,37,62,Alaska,845,756,334,374
