,Dataset: 2007-2009 American Community Survey 3-Year Estimates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..1",Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..2",Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..3",Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..4",Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..5",Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..6",Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..7",Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..8",Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48..9",Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
0,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,
1,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,
2,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alabama,579815,18712.400933,982,787.64723217,1183,831.97808239,373,310.15012525,4447,2040.0667313,Alabama,1191,722.52568561,130,181.70475208,212,337.81247548,99,134.51433665,15799,3202.0449173,Alabama,20889,3782.0907951,786,540.30412521,1072,669.07167325,3177,1485.8352658,3946,2079.0575097,Alabama,458,436.90407222,457,380.90631254,1765,1034.007078,4174,1687.9214262,710,593.67762842,Alabama,2709,2308.3157925,104,147.93617708,3964,2102.5096945,621,447.21980611,7941,3446.804088,Alabama,1069,561.44924807,456,457.87356821,0,273,567,575.83776581,99,132.66698084,Alabama,664,838.38946446,404,285.15732191,2463,1343.9611241,7152,2515.7668892,39,63.460552363,Alabama,3265,1487.9871119,1316,1098.825154,125,132.69400428,1015,616.66956012,583,626.97249546,Alabama,448,602.64783235,2445,971.05779576,0,273,7948,2312.5609276,8718,2830.7164828,Alabama,382,322.13976661,0,273,5821,1899.6514202,991,356.04029018,215,215.30875826,Alabama,1026,622.1380431,258,248.90051375
9,Alaska,1390,1676.700576,107051,7517.989701,1285,551.93758163,209,253.93360476,3780,1483.8548776,Alaska,1460,1212.913228,313,451.21603357,86,106.62087518,47,79.616980365,2581,1588.2249673,Alaska,3114,2073.7989212,374,284.73781085,743,575.43289768,271,265.37679218,643,397.23412179,Alaska,246,224.96780875,49,99.13018958,155,257.77129004,1975,1929.184086,129,176.68632492,Alaska,642,953.43559992,24,39.180709316,748,567.6528903,1753,1308.4101365,91,129.36071236,Alaska,782,675.28983139,1372,1026.980364,40,51.413816443,314,216.86378834,38,73.962829448,Alaska,327,386.07417558,70,125.00051822,718,597.02022416,288,211.34281145,17,47.859323661,Alaska,1292,1027.0223904,407,427.12259486,1342,765.69378383,476,303.00725855,48,82.781264245,Alaska,0,244,375,317.87981022,314,420.33612836,1229,1222.5668885,2729,1611.322634,Alaska,786,781.88166889,0,244,264,217.64537401,3620,1512.597671,0,244,Alaska,1048,945.84145571,470,811.64965132
