,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114
0,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,
1,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2005 American Community Survey 1-Year Estimates,,,,
2,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
5,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alabama,580353,22382,608,432,574,542,3168,1655,3025,1149,Alabama,1922,1155,321,359,563,636,191,256,15641,3260,Alabama,17776,3359,753,725,162,194,3410,1135,1705,885,Alabama,375,522,397,429,1712,988,4887,1697,24,40,Alabama,1653,1027,361,280,2878,1454,58,99,10093,2842,Alabama,1768,1059,0,270,409,434,709,534,461,696,Alabama,951,888,540,483,3222,1455,1512,793,80,135,Alabama,2099,1145,2347,1429,81,137,753,491,161,202,Alabama,0,270,2426,1106,0,270,9037,2611,7532,2338,Alabama,200,173,163,220,2572,1142,1324,817,432,467,Alabama,303,230,436,507
9,Alaska,152,176,84150,6528,883,530,54,83,3898,1708,Alaska,1791,1193,0,233,0,233,0,233,940,618,Alaska,816,872,284,345,735,476,578,369,235,308,Alaska,96,112,700,584,119,174,62,102,37,61,Alaska,203,245,148,241,486,364,637,536,1517,1106,Alaska,243,293,121,179,148,244,485,410,444,595,Alaska,109,197,395,388,462,383,579,378,133,217,Alaska,35,60,327,382,1461,811,216,239,261,395,Alaska,0,233,653,897,373,552,167,181,1835,808,Alaska,1241,903,0,233,618,537,5711,2516,0,233,Alaska,765,465,222,353
