,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
0,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2015,,,,,,,,
1,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2015 American Community Survey 1-Year Estimates,,,,,,,,
2,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Current residence in --,Population 1 year and over,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Abroad 1 year ago--,,,,,,,
5,,,,,,,,Total,,Alabama,,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
6,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,United States2,317635720,28922,270873397,189370,37146496,176254,7530129,67868,100809,7872,United States2,40552,5584,184476,10448,76673,5961,643710,19315,182945,10538,United States2,103343,7858,30881,3868,64736,6061,445320,18347,249302,12286,United States2,60459,6680,55885,7103,337592,15676,141616,9838,81054,6586,United States2,99652,8681,109026,9770,100167,9039,37053,4804,181803,9295,United States2,174793,9660,180337,10025,127471,7137,81358,7950,155529,10047,United States2,32620,4402,53210,4926,99409,8583,41885,4363,227380,11097,United States2,68415,7552,448855,15975,237206,12969,31867,3992,213236,11251,United States2,98771,8195,109240,6876,262887,11409,29918,3393,134555,10304,United States2,25769,3405,176961,11726,445343,13136,84071,7704,22135,3420,United States2,268593,14659,178528,10174,51953,4620,109243,6234,31537,4780,United States2,2085698,39419,89000,8853,20482,5276,1976216,37433
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alabama,4801599,3420,4113945,22379,561019,21500,114876,8513,,,Alabama,767,643,1865,1053,2329,1394,3397,1121,1927,1218,Alabama,894,1013,77,132,521,479,15755,2657,27433,4763,Alabama,399,364,0,192,2400,1253,1184,546,478,421,Alabama,1277,759,1365,534,1566,823,97,166,1435,819,Alabama,446,296,2540,879,193,234,7442,2015,1174,794,Alabama,120,153,339,391,539,464,166,272,193,222,Alabama,773,514,2061,745,3974,1400,1162,1248,1513,788,Alabama,725,515,593,453,2690,2057,43,78,1968,1134,Alabama,103,140,7206,1863,6469,2189,362,399,173,149,Alabama,4772,2094,871,494,445,374,491,334,164,266,Alabama,11759,2403,51,102,0,192,11708,2403
11,Alaska,727862,1356,582909,9527,105769,8533,34696,4503,279,329,Alaska,,,658,322,73,144,3062,1226,1815,906,Alaska,109,104,0,149,0,149,1473,1007,1044,645,Alaska,732,626,544,340,819,656,138,142,193,199,Alaska,434,595,238,306,210,206,17,32,444,606,Alaska,449,346,955,959,1173,1134,0,149,905,453,Alaska,461,405,233,343,2129,1225,338,393,0,149,Alaska,766,744,1028,974,2078,989,71,82,408,322,Alaska,780,563,1389,713,263,232,0,149,873,854,Alaska,312,270,133,114,2196,915,337,317,53,86,Alaska,521,387,3988,1286,0,149,161,105,414,422,Alaska,4488,1282,34,62,16,28,4438,1285
12,Arizona,6747595,4243,5536087,26178,910911,24238,253281,12395,607,504,Arizona,2519,1281,,,553,323,54646,6120,11039,2566,Arizona,2417,1098,927,833,330,306,7833,2560,3671,1286,Arizona,2069,842,2835,1280,11017,2344,4087,1875,3963,1243,Arizona,2625,2099,3599,1415,1801,1008,780,584,2105,963,Arizona,3030,1602,9069,2478,8499,2397,544,485,4069,1439,Arizona,1798,918,986,512,7153,2481,445,729,2782,1200,Arizona,8030,1919,5564,1315,5323,2232,1150,968,5147,2245,Arizona,3906,1898,7163,1826,3910,1339,298,334,842,539,Arizona,1582,709,3253,1468,13025,2104,10165,3321,406,425,Arizona,3801,1466,14183,3309,0,201,5262,1630,2473,1694,Arizona,47316,5688,1556,1296,105,121,45655,5434
13,Arkansas,2938341,3200,2440359,17443,407352,17073,81594,7126,956,818,Arkansas,205,298,1683,990,,,5075,1603,2429,1953,Arkansas,0,190,79,143,196,186,2641,1029,2407,1551,Arkansas,45,73,214,213,2999,1378,784,521,589,357,Arkansas,2036,1334,497,457,3601,1494,0,190,70,80,Arkansas,521,513,1922,1542,114,141,3415,1178,6367,1828,Arkansas,1058,918,337,407,292,275,0,190,122,157,Arkansas,645,459,395,413,2006,1071,143,160,777,760,Arkansas,7505,2672,34,43,358,300,0,190,311,352,Arkansas,146,177,6033,2819,17708,2713,445,461,36,75,Arkansas,2355,1818,313,294,143,155,1312,1055,275,251,Arkansas,9036,2094,0,190,0,190,9036,2094
14,California,38675135,11051,33446324,47467,4377667,41961,514477,19053,5273,1963,California,6022,2203,34204,4975,2867,1212,,,21157,3124,California,6205,1807,1118,602,3908,1018,25638,3787,11630,2207,California,10475,1968,5840,1777,26189,3892,8650,3545,1394,603,California,3943,1290,3781,1513,6324,1425,1745,1248,9981,2206,California,12628,2708,8852,2150,4887,1144,2539,1501,6465,1991,California,2017,938,3282,1586,25332,4234,1859,1159,12890,3279,California,5239,2602,36896,4558,12463,3023,1035,555,12836,2831,California,8350,2743,20838,3311,13595,2972,2179,1037,6301,1621,California,610,389,8781,2577,41713,4725,8814,1962,766,574,California,15009,2445,33131,4712,413,293,6741,1729,1672,666,California,336667,16275,1110,698,1518,915,334039,16226
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Colorado,5393067,3719,4404058,21899,728077,17761,227445,12112,2392,1368,Colorado,1653,1107,10254,2666,1527,974,29029,4371,,,Colorado,2253,1236,77,123,1132,697,12623,2350,4644,1398,Colorado,4277,2037,1692,984,11398,3052,1982,927,2718,1171,Colorado,6294,1725,1678,884,3007,1366,185,220,2286,1007,Colorado,2378,923,3739,1208,5443,2697,881,862,6798,2208,Colorado,910,485,4201,1397,3723,1305,583,426,3227,1225,Colorado,6393,1878,5748,1547,3489,1085,1388,1191,3263,988,Colorado,3072,1103,4836,1551,4870,1788,43,68,2410,1155,Colorado,732,339,2314,1086,25268,3451,4064,1354,1094,801,Colorado,7686,3039,7368,2333,1232,1512,5916,2214,3275,1427,Colorado,33487,3701,126,209,325,326,33036,3694
17,Connecticut,3554844,3252,3109580,17815,340126,14637,76997,6705,163,129,Connecticut,68,112,187,191,0,198,4240,1220,467,357,Connecticut,,,344,390,379,245,6122,1648,1268,790,Connecticut,429,291,51,86,1696,711,777,570,362,411,Connecticut,135,176,30,51,139,135,939,614,917,578,Connecticut,9498,1742,467,373,548,412,84,104,638,512,Connecticut,0,198,0,198,127,201,1202,519,3688,1318,Connecticut,725,715,23820,3787,1394,726,95,157,1836,1063,Connecticut,265,207,290,233,2348,913,3035,1415,926,597,Connecticut,362,440,237,172,2519,1283,95,144,262,215,Connecticut,2301,1491,1236,677,63,137,223,230,0,198,Connecticut,28141,3996,3564,2602,15,31,24562,3181
18,Delaware,935813,1401,800701,9561,86009,7715,44495,5586,76,136,Delaware,344,370,282,318,0,190,725,586,192,316,Delaware,508,308,,,279,221,883,456,327,409,Delaware,0,190,0,190,632,754,207,235,124,202,Delaware,154,254,75,119,0,190,376,488,6749,1688,Delaware,1161,938,162,192,81,137,26,58,82,159,Delaware,0,190,0,190,0,190,47,73,4345,1246,Delaware,846,1186,4759,1436,1504,1168,423,694,92,166,Delaware,54,91,90,116,13965,3191,0,190,659,647,Delaware,0,190,82,119,1423,939,32,53,78,112,Delaware,2112,1826,420,596,119,204,0,190,0,190,Delaware,4608,1492,236,271,0,190,4372,1467
19,District of Columbia ,663006,1528,525024,7553,67188,5688,59905,4750,359,302,District of Columbia ,235,257,367,293,203,200,4119,1258,433,360,District of Columbia ,1292,648,252,251,,,2731,936,1013,533,District of Columbia ,52,122,5,11,785,357,748,460,135,169,District of Columbia ,33,77,275,252,392,388,258,208,14726,2234,District of Columbia ,2876,1070,1308,539,545,495,338,211,141,139,District of Columbia ,0,200,674,423,68,92,47,59,1804,800,District of Columbia ,40,68,5133,1205,1501,695,0,200,1027,713,District of Columbia ,150,204,157,211,1999,637,234,208,1806,1518,District of Columbia ,9,21,873,430,1314,584,177,187,117,143,District of Columbia ,8028,1715,134,164,478,432,514,421,0,200,District of Columbia ,10889,3045,18,41,0,200,10871,3037
